Dataset,Model,threshold,f1_Score,Precision,Recall,Features
Mendeley,RF,0.01,0.9676368131250702,0.9738746889843927,0.9614783385439929,"['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url', 'number_of_digits_in_url', 'number_of_special_char_in_url', 'number_of_hyphens_in_url', 'number_of_underline_in_url', 'number_of_slash_in_url', 'number_of_questionmark_in_url', 'number_of_equal_in_url', 'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain', 'number_of_hyphens_in_domain', 'having_special_characters_in_domain', 'number_of_special_characters_in_domain', 'having_digits_in_domain', 'number_of_digits_in_domain', 'having_repeated_digits_in_domain', 'number_of_subdomains', 'average_subdomain_length', 'having_digits_in_subdomain', 'number_of_digits_in_subdomain', 'path_length', 'having_query', 'entropy_of_url', 'entropy_of_domain']"
Mendeley,RF,0.05,0.9676368131250702,0.9738746889843927,0.9614783385439929,"['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url', 'number_of_digits_in_url', 'number_of_special_char_in_url', 'number_of_hyphens_in_url', 'number_of_underline_in_url', 'number_of_slash_in_url', 'number_of_questionmark_in_url', 'number_of_equal_in_url', 'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain', 'number_of_hyphens_in_domain', 'having_special_characters_in_domain', 'number_of_special_characters_in_domain', 'having_digits_in_domain', 'number_of_digits_in_domain', 'having_repeated_digits_in_domain', 'number_of_subdomains', 'average_subdomain_length', 'having_digits_in_subdomain', 'number_of_digits_in_subdomain', 'path_length', 'having_query', 'entropy_of_url', 'entropy_of_domain']"
Mendeley,RF,0.1,0.9679139881537209,0.9734063576308509,0.9624832514515409,"['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url', 'number_of_digits_in_url', 'number_of_special_char_in_url', 'number_of_hyphens_in_url', 'number_of_underline_in_url', 'number_of_slash_in_url', 'number_of_questionmark_in_url', 'number_of_equal_in_url', 'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain', 'number_of_hyphens_in_domain', 'having_special_characters_in_domain', 'number_of_special_characters_in_domain', 'having_digits_in_domain', 'number_of_digits_in_domain', 'number_of_subdomains', 'average_subdomain_length', 'number_of_digits_in_subdomain', 'path_length', 'having_query', 'entropy_of_url', 'entropy_of_domain']"
Mendeley,RF,0.2,0.9460557499153595,0.9563084645220169,0.9360205448861099,"['url_length', 'number_of_dots_in_url', 'number_of_digits_in_url', 'number_of_special_char_in_url', 'number_of_hyphens_in_url', 'number_of_underline_in_url', 'number_of_slash_in_url', 'number_of_questionmark_in_url', 'number_of_equal_in_url', 'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain', 'number_of_hyphens_in_domain', 'number_of_special_characters_in_domain', 'having_digits_in_domain', 'number_of_digits_in_domain', 'number_of_subdomains', 'average_subdomain_length', 'number_of_digits_in_subdomain', 'path_length']"
Mendeley,RF,0.5,0.9457652931720112,0.9556568823026503,0.9360763733809736,"['url_length', 'number_of_dots_in_url', 'number_of_digits_in_url', 'number_of_special_char_in_url', 'number_of_hyphens_in_url', 'number_of_slash_in_url', 'number_of_equal_in_url', 'domain_length', 'number_of_dots_in_domain', 'number_of_hyphens_in_domain', 'number_of_special_characters_in_domain', 'number_of_digits_in_domain', 'number_of_subdomains', 'average_subdomain_length', 'number_of_digits_in_subdomain', 'path_length']"
Kaggle,XGBoost,0.01,0.9669565217391304,0.9608294930875576,0.9731621936989499,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_at', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_colon', 'nb_comma', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'http_in_path', 'https_token', 'tld_in_path', 'tld_in_subdomain', 'abnormal_subdomain', 'nb_subdomains', 'prefix_suffix', 'random_domain', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'domain_in_brand', 'suspecious_tld', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'ratio_extRedirection', 'ratio_extErrors', 'login_form', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'whois_registered_domain', 'domain_registration_length', 'domain_age', 'web_traffic', 'dns_record', 'google_index', 'page_rank']"
Kaggle,XGBoost,0.05,0.9669947886508397,0.9597701149425287,0.9743290548424738,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_colon', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'https_token', 'tld_in_path', 'nb_subdomains', 'prefix_suffix', 'random_domain', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'domain_in_brand', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'ratio_extRedirection', 'login_form', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'whois_registered_domain', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,XGBoost,0.1,0.965836711059641,0.9586206896551724,0.9731621936989499,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'https_token', 'nb_subdomains', 'prefix_suffix', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,XGBoost,0.2,0.9663573085846868,0.9607843137254902,0.9719953325554259,"['length_url', 'length_hostname', 'nb_dots', 'nb_hyphens', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_semicolumn', 'nb_www', 'https_token', 'nb_subdomains', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'nb_hyperlinks', 'nb_extCSS', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'domain_with_copyright', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,XGBoost,0.5,0.9652777777777778,0.9575200918484501,0.9731621936989499,"['length_url', 'length_hostname', 'nb_dots', 'nb_hyphens', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'nb_hyperlinks', 'nb_extCSS', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'domain_registration_length', 'domain_age', 'web_traffic', 'page_rank']"
Kaggle,LogReg,0.01,0.9340338587273789,0.9345794392523364,0.9334889148191365,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_at', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_colon', 'nb_comma', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'http_in_path', 'https_token', 'tld_in_path', 'tld_in_subdomain', 'abnormal_subdomain', 'nb_subdomains', 'prefix_suffix', 'random_domain', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'domain_in_brand', 'suspecious_tld', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'ratio_extRedirection', 'ratio_extErrors', 'login_form', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'whois_registered_domain', 'domain_registration_length', 'domain_age', 'web_traffic', 'dns_record', 'google_index', 'page_rank']"
Kaggle,LogReg,0.05,0.9342641070389761,0.931554524361949,0.9369894982497082,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_colon', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'https_token', 'tld_in_path', 'nb_subdomains', 'prefix_suffix', 'random_domain', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'domain_in_brand', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'ratio_extRedirection', 'login_form', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'whois_registered_domain', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,LogReg,0.1,0.9294460641399417,0.9289044289044289,0.9299883313885647,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'https_token', 'nb_subdomains', 'prefix_suffix', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,LogReg,0.2,0.9194202898550725,0.913594470046083,0.9253208868144691,"['length_url', 'length_hostname', 'nb_dots', 'nb_hyphens', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_semicolumn', 'nb_www', 'https_token', 'nb_subdomains', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'nb_hyperlinks', 'nb_extCSS', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'domain_with_copyright', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,LogReg,0.5,0.8869463869463869,0.8859138533178114,0.8879813302217037,"['length_url', 'length_hostname', 'nb_dots', 'nb_hyphens', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'nb_hyperlinks', 'nb_extCSS', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'domain_registration_length', 'domain_age', 'web_traffic', 'page_rank']"
Kaggle,RF,0.01,0.9600463231036479,0.9528735632183908,0.9673278879813302,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_at', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_colon', 'nb_comma', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'http_in_path', 'https_token', 'tld_in_path', 'tld_in_subdomain', 'abnormal_subdomain', 'nb_subdomains', 'prefix_suffix', 'random_domain', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'domain_in_brand', 'suspecious_tld', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'ratio_extRedirection', 'ratio_extErrors', 'login_form', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'whois_registered_domain', 'domain_registration_length', 'domain_age', 'web_traffic', 'dns_record', 'google_index', 'page_rank']"
Kaggle,RF,0.05,0.962877030162413,0.9573241061130334,0.9684947491248541,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_colon', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'https_token', 'tld_in_path', 'nb_subdomains', 'prefix_suffix', 'random_domain', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'domain_in_brand', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'ratio_extRedirection', 'login_form', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'whois_registered_domain', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,RF,0.1,0.962877030162413,0.9573241061130334,0.9684947491248541,"['length_url', 'length_hostname', 'ip', 'nb_dots', 'nb_hyphens', 'nb_qm', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_semicolumn', 'nb_space', 'nb_www', 'nb_com', 'https_token', 'nb_subdomains', 'prefix_suffix', 'shortening_service', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'statistical_report', 'nb_hyperlinks', 'ratio_intHyperlinks', 'ratio_extHyperlinks', 'nb_extCSS', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'empty_title', 'domain_in_title', 'domain_with_copyright', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,RF,0.2,0.9612492770387507,0.9529816513761468,0.969661610268378,"['length_url', 'length_hostname', 'nb_dots', 'nb_hyphens', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'nb_semicolumn', 'nb_www', 'https_token', 'nb_subdomains', 'nb_redirection', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'nb_hyperlinks', 'nb_extCSS', 'external_favicon', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'domain_with_copyright', 'domain_registration_length', 'domain_age', 'web_traffic', 'google_index', 'page_rank']"
Kaggle,RF,0.5,0.96133871898442,0.9509132420091324,0.9719953325554259,"['length_url', 'length_hostname', 'nb_dots', 'nb_hyphens', 'nb_and', 'nb_eq', 'nb_underscore', 'nb_percent', 'nb_slash', 'length_words_raw', 'char_repeat', 'shortest_words_raw', 'shortest_word_host', 'shortest_word_path', 'longest_words_raw', 'longest_word_host', 'longest_word_path', 'avg_words_raw', 'avg_word_host', 'avg_word_path', 'phish_hints', 'nb_hyperlinks', 'nb_extCSS', 'links_in_tags', 'ratio_intMedia', 'ratio_extMedia', 'safe_anchor', 'domain_registration_length', 'domain_age', 'web_traffic', 'page_rank']"
